1 Perlis, A. J.
2367 Horowitz, E.
2368 Chase, S. M.
2369 Matsushita, Y.
2370 Herbst, N. M.
2371 Walden, D. C.
2372 Conway, R. W.
2373 Denning, P. J.
2374 Coffman Jr., E. G.
2375 Teorey, T. J.
2376 Habermann, A. N.
2377 Schroeder, M. D.
2378 Gaines, R. S.
2379 Liskov, B. H.
2380 Bobrow, D. G.
2381 Flores, I.
2382 Gordon, R.
2383 Moorer, J. A.
2384 Williamson, H. 
2385 Jenkins, M. A.
2386 Tucker, A. B.
2387 Oldehoeft, A. E.
2388 Martin, W. A.
2389 Eastman, C. M.
2390 Pager, D.
2391 Schrack, G. F.
2392 Macleod, I. D. G.
2393 Einarsson, B.
2394 Salzer, H. E.
2395 Shrager, R. I.
2396 McCalla, G. I.
2397 Shell, D. L.
2398 Dwyer, T. A.
2399 Irons, E. T.
2400 Duda, R. O.
2401 Levialdi, S.
2402 Lesk, A. M.
2403 Herriot, J. G.
2404 Gautschi, W.
2405 Kubicek, M.
2406 Sibley, E. H.
2407 Couger, J. D.
2408 Ehrlich, L. W.
2409 Stenger, F.
2410 Salzer, H. E.
2411 Wegner, E.
2412 Feldman, J. A.
2413 Denning, P. J.
2414 Lam, C.
2415 Patterson, T. N. L.
2416 Brenner, N.
2417 Ehrlich, G.
2418 Hill, G. W.
2419 Reinsch, C. H.
2420 Slagle, J. R.
2421 Jordan, B. W. Jr.
2422 James, E. B.
2423 Mickunas, M. D.
2424 Fabry, R. S.
2425 Bachman, C. W.
2426 Lewart, C. R.
2427 Donnelly,T. G.
2428 Burkowski, F. J.
2429 Saylor, P. E.
2430 Syslo,M. M.
2431 Robers, P. D.
2432 Mifsud, C. J.
2433 Millstein, R. E.
2434 Prieve, B. G.
2435 Hirschberg, D. S.
2436 Lampson, B. W.
2437 Lum, V. Y.
2438 Bobrow, D. G.
2439 McGeachie, J. S.
2440 Driessen, H. B.
2441 Williamson, H.
2442 Lawrence, E. E.
2443 Roy, M. K.
2444 Bron, C.
2445 Fencl, Z.
2446 Hunter, D. B.
2447 Barnhill, R. E.
2448 Zelkowitz, M. V.
2449 Gates, G. W.
2450 Rodriguez-Rosell, J.
2451 Casey, R. G.
2452 Cardenas, A. F.
2453 Ganapathy, S.
2454 Buzen, J. P.
2455 Foster, C. C.
2456 Peterson, W. W.
2457 Manna, Z.
2458 Williams, E. J.
2459 Byrne, J. G.
2460 Good, A. J.
2461 Watkins, R. P.
2462 DeMorgan, R. M.
2463 Andrejkova, G.
2464 Richardson, J. A.
2465 Piessens, R.
2466 Liu, C. N
2467 Goldstein, R. B.
2468 Machura, M.
2469 Misunas, D.
2470 MacLennan, B. J.
2471 Smith, M. H.
2472 Kernighan, B. W.
2473 Macleod, I. D. G.
2474 Nikolai, P. J.
2475 Fiala, F.
2476 Hall, P. A. V.
2477 Bochmann, G. V.
2478 Kandel, A.
2479 McFarlan, F. W.
2480 Rosin, R. F.
2481 Gelenbe, E.
2482 Howard, J. H. Jr.
2483 Kozdrowicki, E. W.
2484 Huang, J. C.
2485 Nolan, R. L.
2486 Alt, F. L.
2487 Hoskins, W. D.
2488 Ferguson, J.
2489 Beyer, T.
2490 Hopcroft, J.
2491 Bell, J. R.
2492 Strunz, H.
2493 Shneiderman, B.
2494 Ling, R. F.
2495 Stockhausen, P. F.
2496 Stone, H. S.
2497 Hill, J. C.
2498 Gelenbe, E.
2499 Hamlet, R. G.
2500 Frailey, D. J.
2501 Fajman, R.
2502 Estell, R. G.
2503 Wexelblat, R. L.
2504 McMorrow, C. H.
2505 Roy, M. K.
2506 Sale, R. H. J.
2507 Howell, J.
2508 Wheeler, R. E.
2509 Obradovic, D.
2510 Holmgren, B.
2511 Bayer, G.
2512 Vos, H.
2513 Reingold, E. M.
2514 Mercer, A.
2515 Corneil, D. G.
2516 Salasin, J.
2517 King, P. J. H.
2518 Low, D. W.
2519 Pager, D.
2520 Ragland, L. C.
2521 Broucke, R.
2522 Rodriguez-Rosell, J.
2523 Strong III, J. P.
2524 Burkhard, W. A.
2525 Kuki, H.
2526 Williams, J.G.
2527 Hassitt, A.
2528 Lau, J.
2529 Chang, S.
2530 Wagner, R. A.
2531 Payne, W. H.
2532 Bookstein, A.
2533 Salzer, H. E.
2534 Conway, R. W.
2535 Pack, C. D.
2536 Feinroth, Y.
2537 Wagner, R. A.
2538 Austing, R. H.
2539 Fritsch, F. N.
2540 Denning, P. J.
2541 Balzer, R. M.
2542 Graham, R. M.
2543 Brent, R. P.
2544 Rokne, J.
2545 Gimpel, J. F.
2546 Crespi-Reghizzi, S.
2547 Merrill, R. D.
2548 Hill, G. W.
2549 Knop, R. E.
2550 Gallaher, L. J.
2551 Atkins,M. S.
2552 Bays, C.
2553 Blount, S. E.
2554 Crawford, C. R.
2555 Richman, P. L.
2556 James, E. B.
2557 Muraoka, Y.
2558 Morris, J. H. Jr.
2559 Bays, C.
2560 Shedler, G. S.
2561 Skinner, C. W.
2562 Tesch, G.
2563 Bron, C.
2564 Ellis, T. M. R.
2565 Brent, R. P.
2566 Pomeranz, J.
2567 Chu, S. C.
2568 Salazar, A.
2569 Wallace, N. D.
2570 Adam, T. L.
2571 Strauss, J. C.
2572 Press, L. I.
2573 Knuth, D. E.
2574 Evans, R. V.
2575 Van Rijsbergen, C. J.
2576 Hanson, D. R.
2577 Brown, J. A.
2578 Dijkstra, E. W.
2579 Freiburghouse, R. A.
2580 Rader, G. M.
2581 Miller, P. L.
2582 Ferrari, D.
2583 Sterling, T. D.
2584 Gilchrist, B.
2585 Krogh, F. T.
2586 Stockhausen, P. F.
2587 Sreenivarsan, K.
2588 Klemes, J.
2589 Proll, L. G.
2590 Kopelaar, H.
2591 Veillon, F.
2592 Charnes, A.
2593 Canaday, R. H.
2594 Shneiderman, B.
2595 Slutz, D. R.
2596 Shen, K. K.
2597 Hoare, C. A. R.
2598 Shwayder, K.
2599 Young, J. W.
2600 Eidson, H. D.
2601 Burrell, K. H.
2602 Watkins, S. L.
2603 Schkolnick, M.
2604 Cheung, T.
2605 Aberth, O.
2606 Willers, I. M.
2607 ACM Committee
2608 Acton, F. S.
2609 Lagerlof, R. O. E.
2610 Stroud, A. H.
2611 Shere, K. D.
2612 Bultheel, A.
2613 McKay, J.
2614 Crandall, K. C.
2615 Lyche, T.
2616 Cavouras, J. C.
2617 Denning, P. J.
2618 Lamport, L.
2619 Neufeld, G. A.
2620 Friedman, T. D.
2621 Purdy, G. B.
2622 Evans, A. Jr.
2623 Hahn, B.
2624 Popek, G. J.
2625 Fabry, R. S.
2626 Saltzer, J. H.
2627 Bruno, J.
2628 Fuller, S. H.
2629 Ritchie, D. M.
2630 Minieka, E.
2631 Barton, I. J.
2632 Wulf, W.
2633 Adams, J.
2634 Slysz, W. D.
2635 Boulton, D. M.
2636 Page, R. L.
2637 Ellis, T. M. R.
2638 Gaither, B.
2639 Piessens, R.
2640 Piessens, R.
2641 Page, R. L.
2642 Barrodale, I.
2643 Gimpel, J. F.
2644 Henschen, L.
2645 CCohen, J.
2646 Gold, D. E.
2647 Gentleman, W. M.
2648 Wunderlich, M. C.
2649 Tsao, N.
2650 Wagner, R. A.
2651 Wegbreit, B.
2652 Shaw, M.
2653 Einarsson, B.
2654 Ehrich, G.
2655 Cline, A. K.
2656 Cline, A. K.
2657 Lee, R. C. T.
2658 Balfour, A.
2659 Abrahams, P. W.
2660 Simmons, G. C.
2661 Sterling, T. D.
2662 Freeman, P.
2663 Lucas, H. C. Jr.
2664 Even, S.
2665 Lindstrom, G.
2666 Smith, G.
2667 Boyse, J. W.
2668 Franklin, M. A.
2669 Saltzer, J. H.
2670 Krogh, F. T.
2671 Stone, H. S.
2672 Smoliar, S. W.
2673 Ackerman, A. F.
2674 Barrett, R. C.
2675 Ravindran, A.
2676 Withers, D. H.
2677 Bosten, N. E.
2678 Wright, T.
2679 Loeser, R.
2680 Morgan, H. L.
2681 Balkovich, E.
2682 Sreenivasan, K.
2683 Wegbreit, B.
2684 Ledgard, H. F.
2685 Lamport, L.
2686 Ramberg, J. S.
2687 Jordan, B. W. Jr.
2688 Rothnie, J. B. Jr.
2689 Lucas, H. C. Jr.
2690 Knott, G. D.
2691 King, P. J. H.
2692 Sutherland, I. E.
2693 Akima, H.
2694 Piessens, R.
2695 Gibbs, N. E.
2696 Akima, H.
2697 Malcolm, M. A.
2698 Lyon, G.
2699 Schwartz, J. T.
2700 Lipton, R. J.
2701 Graham, S. L.
2702 Hunt, H. B. III
2703 Jazayeri, M.
2704 Goodenough, J. B.
2705 Naur, P.
2706 Kou, L. T.
2707 Bitner, J. R.
2708 Graham, S. L.
2709 Ledgard, H. F.
2710 Boyce, R. F
2711 Salton, G.
2712 Reiser, M.
2713 Cotton, I.
2714 Gavril, F.
2715 Astrahan, M. M.
2716 Smith, J. M.
2717 Shu, N. C.
2718 Gerritsen, R.
2719 Wegbreit, B.
2720 Piepmeier, W. F.
2721 Claudson, R. M.
2722 Bently, J. L.
2723 Steele, G. L. Jr.
2724 Todd, J.
2725 Vaucher, J. C.
2726 Shwayder, K.
2727 Lamport, L.
2728 Ghosh, S. P.
2729 Smith, A. J.
2730 Sharo, S. C.
2731 Cotton, I. W.
2732 Dijkstra, E. W.
2733 Aho, A. V.
2734 Shore, J. E.
2735 Weber, R. E.
2736 Bobrow, D. G.
2737 Freeman, H.
2738 Parnas, D. L.
2739 Sager, N.
2740 Lauesen, S.
2741 Courtois, P. J.
2742 Wyman, F. P.
2743 Harper, L. H.
2744 Soule, S.
2745 Hirschberg, D. S.
2746 Aho, A. V.
2747 Cranston, B.
2748 Dewar, R. B. K.
2749 Babich, A. F.
2750 Lum, V. Y.
2751 Phong, B. T.
2752 Gibbs, N. E.
2753 Pfefferkorn, C. E.
2754 Horowitz, S. L.
2755 Mills, H. D.
2756 Wasserman, A. I.
2757 Fox, B.L.
2758 Evans, D. J.
2759 Fritsch, F. N.
2760 Doran, C. J.
2761 Mashburn, R. G.
2762 Piessens, R.
2763 Gibbs, N. E.
2764 Wilks, Y.
2765 Cardenas, A. F.
2766 Fisher, D. A.
2767 Vaucher, J. G.
2768 Hinds, J. A.
2769 Warren, H. S. Jr.
2770 Batagelj, V.
2771 Braid, I. C.
2772 Smith, G.
2773 Shen, K. K.
2774 Frederick, L. W.
2775 Ginsberg, E. S.
2776 Chambers, J. A.
2777 Parnas, D. L.
2778 Sluis, A.
2779 Shampine, L. F.
2780 Erisman, E. M.
2781 Whitt, J. D.
2782 Karp, R. A.
2783 Floyd, R. W.
2784 Floyd, R. W.
2785 Lawrie, D. H.
2786 Kernighan, B. W.
2787 Johnston, H. C.
2788 Kimme, C.
2789 Magnuski, H. S.
2790 Syslo, M. M.
2791 Hancock, T. W.
2792 Skovgaard, O.
2793 Knight,W.
2794 VanderBrug, G. J.
2795 Goldman, N. M.
2796 Hoare, C. A. R. 
2797 Young, J. W.
2798 Burnett, G. J.
2799 Hanson, R. J.
2800 Liniger, W.
2801 Chi Chen, T.
2802 Mills, H. D.
2803 Hestenes, M. R.
2804 Marcus, M.
2805 van der Sluis, A.
2806 Birkhoff, G.
2807 Peters, G.
2808 Todd, J.
2809 Bauer, F. L.
2810 Finerman, A.
2811 Stockman, G.
2812 Nunamaker, J. F. Jr.
2813 Arden, B.
2814 Sammet, J. E.
2815 Hamlet, R. G.
2816 Maruyama, K.
2817 Eswarran, K..
2818 Baskett, F.
2819 Rubin, F.
2820 Wilcox, T. R.
2821 Ledgard, H. F.
2822 Ross, D. T.
2823 Montanelli, R. G. Jr.
2824 Duong-Kien, C.
2825 Frane, J. W.
2826 Burtnyk, N.
2827 Levin, J.
2828 Clark, J. H.
2829 Blinn, J. F.
2830 Severance, D. G.
2831 Chu, W. W.
2832 Wegbreit, B.
2833 Deutsch, L. P.
2834 Bitner, J. R.
2835 Walter, K. G.
2836 Loui, M. C.
2837 Yap, C. K.
2838 Wadler, P. L.
2839 Hirschberg, D. S.
2840 Harrison, M. A.
2841 Clark, J. H.
2842 Tennent, R. D.
2843 Donovan, J. J.
2844 Gonnet, G. H.
2845 Burton, W.
2846 Maly, K.
2847 Fishman, G. S.
2848 Cheng, C.
2849 Metcalfe, R. M.
2850 King, J. C.
2851 Keller, R. M.
2852 Conte, S. D.
2853 Knott, G. D.
2854 Steele, G. L. Jr.
2855 Clark, D. W.
2856 Schumacher, H.
2857 Wise, D. S.
2858 Frieder, G.
2859 Baskett, F.
2860 Severance, D.
2861 Taulbee, O. E.
2862 Chu, W. W.
2863 Prieve, B. G.
2864 Madison, A. W.
2865 Owicki, S.
2866 Howard, J.H.
2867 Habermann,A. N.
2868 Lampson, B. W.
2869 Millen, J. K.
2870 Denning, D. E.
2871 Katz, S.
2872 Fagin, R.
2873 Raymond, J.
2874 Lientz, B. P.
2875 Smoot, O. R.
2876 Minsky, N.
2877 Allen, J. E.
2878 Babad, J. M.
2879 Newell, A.
2880 Artzy, E.
2881 Fagin, R.
2882 Siler, K. F.
2883 Martelli, A.
2884 Ives, F. M.
2885 Rivest, R.
2886 Bochmann, G. V.
2887 Litecky, C. R.
2888 Florentin, J. J.
2889 Karlton, P. L.
2890 Agnew, C. E.
2891 Wilhelm, N. C.
2892 Kleinrock, L.
2893 Danziger, J. N.
2894 Adrams, M. D.
2895 Greif, I.
2896 Gries, D.
2897 Carter, J. L.
2898 Kessels, J. L. W.
2899 Lopez, A. A.
2900 Grapa, E.
2901 Blasgen, M. W.
2902 Nielsen, N. R.
2903 Bird, R. S.
2904 Cocke, J.
2905 Sprugnoli, R.
2906 Hammer, M.
2907 Manna, Z.
2908 Roy, M. K.
2909 Wirth, N.
2910 Stockman, G. C.
2911 Shore, J. E.
2912 Lamport, L.
2913 Crow, F. C.
2914 Turner, R.
2915 Lee, J. A. N.
2916 Boyer, R. S.
2917 Schneider, B. R. Jr.
2918 Smith, A. J.
2919 Ivie, E. L.
2920 Devillers, R.
2921 LaLonde, W. R.
2922 Montangero, C.
2923 Rosen, B. K.
2924 Wu, Sheng-Chuan
2925 Fuchs, H.
2926 McCreight, E. M.
2927 Mairson, H. G.
2928 Giffor, D. K.
2929 Scheifler, R. W.
2930 Austing, R. H.
2931 Scott, D. S.
2932 Rabin, M. O.
2933 Francez, N.
2934 Lawler, E. L.
2935 Taulbee, O. E.
2936 Franta, W. R.
2937 Gannon, J. D.
2938 Wirth, N.
2939 Liskov, B.
2940 Shaw, M.
2941 Geschke, C. M.
2942 Brownlee, J. N.
2943 Ashcrof, E. A.
2944 Barth, J. M.
2945 Denning, D. E.
2946 Kessels, J. L. W.
2947 Schneider, B. R. Jr.
2948 Heckel, P. G.
2949 Tajibnapis, W. D.
2950 Ruschitzka, M.
2951 Mamrak, S. A.
2952 Warren, H. S. Jr.
2953 Bird, R. S.
2954 Robson J. M.
2955 Peterson, J. L.
2956 Gries, D.
2957 Smith, J. M.
2958 Guttag, J.
2959 Zloof, M. M.
2960 Ledgard, H. F.
2961 Shneiderman, B.
2962 Taulbee, O. E.
2963 Hunt, J. W.
2964 Milman, Y.
2965 Hanani, M. Z.
2966 Shapiro, M.
2967 Stillman, N. J.
2968 Baer, J. L.
2969 Morgan, H. L.
2970 Fishman, G. S.
2971 Holt, R. C.
2972 Robinson, L.
2973 Thompson, C. D.
2974 Bandyopadhyay, S. K.
2975 Hollander, C.R.
2976 Yao, S. B.
2977 Lucac, H. C. Jr.
2978 Maruyama, K.
2979 Findler, N. V.
2980 Tanimoto, S. L.
2981 Morris, J. H. Jr.
2982 Bertsch, E.
2983 Bays, C.
2984 Borovits, I.
2985 Nolan, R. L.
2986 Hunt, H. B. III
2987 Burton W.
2988 Brown, R. M.
2989 Lunde, A.
2990 Yu, C. T.
2991 Clapson, P.
2992 Knott, G. D.
2993 Kotiah, T. C. T.
2994 Bresenham, J.
2995 Courtois, P. J.
2996 Easton, M. C.
2997 Preparata, F. P.
2998 Clark, D. W.
2999 Muller, M. E.
3000 Batson, A. P.
3001 Zobrist, A. L.
3002 Babad, J. M.
3003 Austing, R. H.
3004 Van Gelder, A.
3005 Tanenbaum, A.S.
3006 Franklin, M.A.
3007 Rabin, M.O.
3008 DeMillo, R.A.
3009 Kosaraju, S.R.
3010 Anderson, R.E.
3011 Dutton, W.H.
3012 Lucas, H.C.Jr.
3013 Schachter, B.J.
3014 Manna, Z.
3015 Herman, G.T.
3016 Stewart, W.J.
3017 Held, G.
3018 Kou, L.T.
3019 Austing, R.H.
3020 Auslander, M.A.
3021 Rivest, R.L.
3022 Mamrak, S.A.
3023 Case, R.P.
3024 Russell, R.M.
3025 Bell, C.G.
3026 Borgherson, B.R.
3027 Ibbett, R.N.
3028 Lavington, S.H.
3029 Fuller,S.H.
3030 Spitzen, J.M.
3031 Guttag, J.V.
3032 Dalal, Y.K.
3033 Martelli, A.
3034 Ibramsha, M.
3035 Wetherbe, J.C.
3036 Peterson, J.L.
3037 Gries, D.
3038 Needham, R.M.
3039 Dijkstra, E.W.
3040 Freuder, E.C.
3041 Sheil, B.A.
3042 Luccio, F.
3043 Hansen, P.
3044 Friedman, D.P.
3045 Ripley, D.G.
3046 Tadikamalla, P.R.
3047 Horn, B.K.P.
3048 Kumar, B.
3049 Wendorf, J.W.
3050 Lyons, N.R.
3051 Franta, W.R.
3052 Easton, M.C.
3053 Lyon, G.
3054 Sedgewick, R.
3055 McMaster, C.L.
3056 Morris, R.
3057 Chang, S.K.
3058 Shneiderman, B.
3059 Towsley, D.
3060 Brainerd, W.
3061 Tenenbaum, A.
3062 Ward, S.A.
3063 Maly, K.
3064 Ulrich, E.G.
3065 Ottmann, T.T.
3066 Myers, G.J.
3067 Denning, P.J.
3068 Popek, G.J..
3069 Barth, J.M.
3070 Schwetman, H.D.
3071 Harris, R.A.
3072 Brice, R.S.
3073 Hoare, C.A.R.
3074 Morris, F.L.
3075 Hirschberg, D.S.
3076 Kling, R.
3077 Backus, J.
3078 Chattergy, R.
3079 Shostak, R.E.
3080 Samet, H.
3081 Baker, H.G. Jr.
3082 Lamport, L.
3083 Halatsis, C.
3084 Perl, Y.
3085 Chin, F.Y.
3086 Fredman, M.L.
3087 Waltz, D.L.
3088 Teory, T.J.
3089 Gelenbe, E.
3090 Kling, R.
3091 Chrysler, E.
3092 Lientz, B.P.
3093 Mickunas, M.D.
3094 Cohen, J.
3095 Driscoll, J.R.
3096 Zweben, S.H.
3097 Sites, R.L.
3098 Tadikamalla, P.R.
3099 Fleisher, J.M.
3100 Hayes-Roth, F.
3101 Hanson, D.
3102 Karr, M.
3103 Low, J.R.
3104 Geller, M.
3105 Jones, A.K.
3106 Clark, D.W.
3107 Cheng, R.C.H.
3108 Even, S.
3109 Vuillemin, J.
3110 Szymanski, T.G.
3111 Merkle, R.C.
3112 Baker, H.G.
3113 Lew, A.
3114 Heckel, P.
3115 Payne, W.H.
3116 Boyse, J.W.
3117 Colton, K.W.
3118 Bongiovanni, G.C.
3119 Sauer, C.H.
3120 Banatre, J.P.
3121 Arsac, J.J.
3122 Taulbee, O.E.
3123 Fairley, R.E.
3124 Gull,W.E.
3125 Morel, E.
3126 Anderson, M.G.
3127 Cheriton, D.R.
3128 Reed, D.P.
3129 Mendelson, H.
3130 Austing, R.H.
3131 Edgar, A.D.
3132 Slagle, J.
3133 Deliyanni, A.
3134 Motzkin, D.
3135 Lesk, A.M.
3136 Cale, E.G.
3137 Bucci, G.
3138 Hanson, R.J.
3139 Brelaz, D.
3140 De Millo, R.A.
3141 Chang, E.
3142 Sterling, T.D.
3143 Reynolds, J.C.
3144 Manthey, M.J.
3145 Lemos, R.S.
3146 Busenberg, S.N.
3147 Alter, S.
3148 Feldman, J.A.
3149 Shapira, R.
3150 Winograd, T.
3151 Preparata, F.P.
3152 Fischer, P.C.
3153 Hine, J.H.
3154 Kowalski, R.
3155 Floyd, R.W.
3156 Hirschberg, D.S.
3157 Dershowitz, N.
3158 Denning, D.E.
3159 Nelson, L.S.
3160 Feldman, J.A.
3161 McCracken, D.D., CCP
3162 Galil, Z.
3163 Raiha,K.J.
3164 Hansen, W.J.
3165 Nagy, G.
3166 Chan, T.F.
3167 West, D.H.D.
3168 Laird, P.D.
3169 Gudes, E.
3170 Lamport, L.
3171 Klint, P.
3172 Lozano-Perez, T.
3173 Mayer, R.E.
3174 Morris, R.
3175 Peleg, S.
3176 Tarjan, R.E.
3177 Shamir, A.
3178 Kling, R.
3179 Kraemer, K.L.
3180 Lipis, A.H.
3181 Long, R.H.
3182 Parker, D.B.
3183 Kraemer, K.L.
3184 Nuar, P.
3185 Dijkstra, E. W.
3186 Dijkstra, E. W.
3187 Blair, C.R.
3188 Zemanek, H.
3189 Stiegler, A. D.
3190 Solomon, M.B.
3191 Langdon, Glen G.
3192 Vanderburgh, A.
3194 Dunham, B.
3195 Gorn, S.
3196 Mooers, C. N.
3197 Gorn, S.
3198 Greem, J.
3199 Gotlieb, C. C.
3200 Cuthill, E.
3201 Danby, J.
3202 Bender, B.
3203 Fletcher, J. G.
3204 Korsvold, K.
